ID,year,score,stu_count,rank,STUDENT_POOL_ID
96,2015,604,247,8438,1
97,2015,603,271,8709,1
98,2015,602,265,8974,1
99,2015,601,256,9230,1
100,2015,600,288,9518,1
101,2015,599,279,9797,1
102,2015,598,271,10068,1
103,2015,597,296,10364,1
104,2015,596,283,10647,1
105,2015,595,297,10944,1
106,2015,594,238,11182,1
107,2015,593,295,11477,1
108,2015,592,299,11776,1
109,2015,591,289,12065,1
110,2015,590,281,12346,1
111,2015,589,293,12639,1
112,2015,588,303,12942,1
113,2015,587,342,13284,1
114,2015,586,321,13605,1
115,2015,585,297,13902,1
116,2015,584,300,14202,1
117,2015,583,302,14504,1
118,2015,582,294,14798,1
119,2015,581,328,15126,1
120,2015,580,311,15437,1
121,2015,579,326,15763,1
122,2015,578,337,16100,1
123,2015,577,314,16414,1
124,2015,576,327,16741,1
125,2015,575,319,17060,1
126,2015,574,375,17435,1
127,2015,573,338,17773,1
128,2015,572,367,18140,1
129,2015,571,358,18498,1
130,2015,570,362,18860,1
131,2015,569,361,19221,1
132,2015,568,380,19601,1
133,2015,567,377,19978,1
134,2015,566,369,20347,1
135,2015,565,351,20698,1
136,2015,564,337,21035,1
137,2015,563,348,21383,1
138,2015,562,330,21713,1
139,2015,561,388,22101,1
140,2015,560,382,22483,1
141,2015,559,384,22867,1
142,2015,558,398,23265,1
143,2015,557,387,23652,1
144,2015,556,351,24003,1
145,2015,555,413,24416,1
146,2015,554,401,24817,1
147,2015,553,398,25215,1
148,2015,552,386,25601,1
149,2015,551,384,25985,1
150,2015,550,355,26340,1
151,2015,549,386,26726,1
152,2015,548,418,27144,1
153,2015,547,338,27482,1
154,2015,546,357,27839,1
155,2015,545,392,28231,1
156,2015,544,412,28643,1
157,2015,543,404,29047,1
158,2015,542,393,29440,1
159,2015,541,377,29817,1
160,2015,540,391,30208,1
161,2015,539,394,30602,1
162,2015,538,397,30999,1
163,2015,537,404,31403,1
164,2015,536,396,31799,1
165,2015,535,397,32196,1
166,2015,534,424,32620,1
167,2015,533,374,32994,1
168,2015,532,391,33385,1
169,2015,531,396,33781,1
170,2015,530,403,34184,1
171,2015,529,411,34595,1
172,2015,528,405,35000,1
173,2015,527,402,35402,1
174,2015,526,425,35827,1
175,2015,525,411,36238,1
176,2015,524,412,36650,1
177,2015,523,426,37076,1
178,2015,522,427,37503,1
179,2015,521,412,37915,1
180,2015,520,388,38303,1
181,2015,519,409,38712,1
182,2015,518,428,39140,1
183,2015,517,387,39527,1
184,2015,516,387,39914,1
185,2015,515,424,40338,1
186,2015,514,422,40760,1
187,2015,513,393,41153,1
188,2015,512,430,41583,1
189,2015,511,431,42014,1
190,2014,700,1,1,1
191,2014,698,1,2,1
192,2014,692,2,4,1
193,2014,690,2,6,1
194,2014,689,2,8,1
195,2014,688,2,10,1
196,2014,687,1,11,1
197,2014,686,1,12,1
198,2014,685,1,13,1
199,2014,684,2,15,1
200,2014,683,5,20,1
201,2014,682,1,21,1
202,2014,681,9,30,1
203,2014,680,7,37,1
204,2014,679,6,43,1
205,2014,678,6,49,1
206,2014,677,5,54,1
207,2014,676,11,65,1
208,2014,675,4,69,1
209,2014,674,7,76,1
210,2014,673,10,86,1
211,2014,672,5,91,1
212,2014,671,13,104,1
213,2014,670,8,112,1
214,2014,669,12,124,1
215,2014,668,12,136,1
216,2014,667,9,145,1
217,2014,666,12,157,1
218,2014,665,14,171,1
219,2014,664,16,187,1
220,2014,663,17,204,1
221,2014,662,18,222,1
222,2014,661,27,249,1
223,2014,660,17,266,1
224,2014,659,25,291,1
225,2014,658,22,313,1
226,2014,657,25,338,1
227,2014,656,34,372,1
228,2014,655,34,406,1
229,2014,654,28,434,1
